Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Voltage Rating
R_000001,R,10k,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,Thick Film Resistors - SMD 0402 10Kohms 1% AEC-Q200,Panasonic,ERJ-2RKF1002X,1 %,50 V
R_000002,R,1.5k,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,Thick Film Resistors - SMD 0402 1.5Kohms 1% AEC-Q200,Panasonic,ERJ-2RKF1501X,1 %,50 V
R_000003,R,4.7k,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,Thick Film Resistors - SMD 0402 4.7Kohms 5% AEC-Q200,Panasonic,ERJ-2GEJ472X ,5 %,50 V
R_000004,R,10k,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,Thick Film Resistors - SMD 0603 10Kohms 1% AEC-Q200 ,Panasonic,ERJ-3EKF1002V,1 %,75 V 
R_000005,R,4.99k,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,Thick Film Resistors - SMD 0603 4.99Kohms 1% AEC-Q200 ,Panasonic,ERJ-3EKF4991V ,1 %,75 V 
R_000006,R,49.9,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,Thick Film Resistors - SMD 0603 49.9ohms 1% AEC-Q200 ,Panasonic,ERJ-3EKF49R9V,1 %,75 V 
R_000007,R,1Meg,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,Thick Film Resistors - SMD 0603 1Mohms 1% Tol AEC-Q200 ,Panasonic,ERJ-3EKF1004V,1 %,75 V 
R_000008,R,1k,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,Thick Film Resistors - SMD 0402 1Kohms 1% AEC-Q200 ,Panasonic,ERJ-2RKF1001X,1 %,50 V
R_000009,R,24.9k,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,Thick Film Resistors - SMD 0402 24.9Kohms 1% AEC-Q200 ,Panasonic,ERJ-2RKF2492X,1 %,50 V
R_000010,R,5.6k,footprints:R_0402_1005Metric,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Thick Film Resistors - SMD 5.6KOhms 0402 0.0625W 5% Std Power AEC-Q200,SEI Stackpole ,RMCF0402JT5K60 ,5 %,50 V
R_000011,R,100k,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,Thick Film Resistors - SMD 0402 100Kohms 5% AEC-Q200 ,Panasonic,ERJ-2GEJ104X,5 %,50 V
R_000012,R,430k,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,Thick Film Resistors - SMD 0603 430Kohms 1% AEC-Q200 ,Panasonic,ERJ-3EKF4303V ,1 %,75 V 
R_000013,R,137k,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,Thick Film Resistors - SMD 0603 137Kohms 1% AEC-Q200 ,Panasonic,ERJ-3EKF1373V,1 %,75 V 
R_000014,R,105k,footprints:R_0402_1005Metric,https://www.vishay.com/docs/20008/dcrcw.pdf,Thick Film Resistors - SMD 1/16watt 105Kohms 1% ,Vishay ,CRCW0402105KFKTD ,1 %,50 V
R_000015,R,57.6k,footprints:R_0402_1005Metric,https://www.vishay.com/docs/20035/dcrcwe3.pdf,Thick Film Resistors - SMD 1/16watt 57.6Kohms 1% ,Vishay ,CRCW040257K6FKED ,1 %,50 V
R_000016,R,18.2k,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,Thick Film Resistors - SMD 0402 18.2Kohms 1% AEC-Q200 ,Panasonic,ERJ-2RKF1822X,1 %,50 V
R_000017,R,15.4k,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,Thick Film Resistors - SMD 0402 15.4Kohms 1% AEC-Q200 ,Panasonic,ERJ-2RKF1542X,1 %,50 V
