Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,3dviewer Link
R_ERJ-6DQJR22V,R,220 mΩ,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 220 mΩ 5% 0805 150V,Panasonic,ERJ-6DQJR22V,5%,100 ppm/°C,150V,0805,2012,ERJ-6DQJ,https://www.trustedparts.com/en/search/ERJ-6DQJR22V,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0805.step
R_ERJ-6DQJR24V,R,240 mΩ,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 240 mΩ 5% 0805 150V,Panasonic,ERJ-6DQJR24V,5%,100 ppm/°C,150V,0805,2012,ERJ-6DQJ,https://www.trustedparts.com/en/search/ERJ-6DQJR24V,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0805.step
R_ERJ-6DQJR27V,R,270 mΩ,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 270 mΩ 5% 0805 150V,Panasonic,ERJ-6DQJR27V,5%,100 ppm/°C,150V,0805,2012,ERJ-6DQJ,https://www.trustedparts.com/en/search/ERJ-6DQJR27V,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0805.step
R_ERJ-6DQJR30V,R,300 mΩ,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 300 mΩ 5% 0805 150V,Panasonic,ERJ-6DQJR30V,5%,100 ppm/°C,150V,0805,2012,ERJ-6DQJ,https://www.trustedparts.com/en/search/ERJ-6DQJR30V,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0805.step
R_ERJ-6DQJR33V,R,330 mΩ,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 330 mΩ 5% 0805 150V,Panasonic,ERJ-6DQJR33V,5%,100 ppm/°C,150V,0805,2012,ERJ-6DQJ,https://www.trustedparts.com/en/search/ERJ-6DQJR33V,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0805.step
R_ERJ-6DQJR36V,R,360 mΩ,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 360 mΩ 5% 0805 150V,Panasonic,ERJ-6DQJR36V,5%,100 ppm/°C,150V,0805,2012,ERJ-6DQJ,https://www.trustedparts.com/en/search/ERJ-6DQJR36V,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0805.step
R_ERJ-6DQJR39V,R,390 mΩ,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 390 mΩ 5% 0805 150V,Panasonic,ERJ-6DQJR39V,5%,100 ppm/°C,150V,0805,2012,ERJ-6DQJ,https://www.trustedparts.com/en/search/ERJ-6DQJR39V,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0805.step
R_ERJ-6DQJR43V,R,430 mΩ,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 430 mΩ 5% 0805 150V,Panasonic,ERJ-6DQJR43V,5%,100 ppm/°C,150V,0805,2012,ERJ-6DQJ,https://www.trustedparts.com/en/search/ERJ-6DQJR43V,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0805.step
R_ERJ-6DQJR47V,R,470 mΩ,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 470 mΩ 5% 0805 150V,Panasonic,ERJ-6DQJR47V,5%,100 ppm/°C,150V,0805,2012,ERJ-6DQJ,https://www.trustedparts.com/en/search/ERJ-6DQJR47V,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0805.step
R_ERJ-6DQJR51V,R,510 mΩ,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 510 mΩ 5% 0805 150V,Panasonic,ERJ-6DQJR51V,5%,100 ppm/°C,150V,0805,2012,ERJ-6DQJ,https://www.trustedparts.com/en/search/ERJ-6DQJR51V,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0805.step
