Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Color,Pitch (mm),Pin Count,Mounting Angle,Current Rating (A),Voltage Rating (V),Mounting Style,Contact Plating,Number of Rows
J_TBP02R2-381-02BE,J,TBP02R2-381-02BE,connector_footprints:TBP02R2-381-02BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,"Same Sky TBP02R2-381 series,  2 positions connector,  3.81 mm pitch,  Blue,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TBP02R2-381-02BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-02BE,Blue,3.81,2,Vertical,8.0,300,Through Hole,Tin,1
J_TBP02R2-381-03BE,J,TBP02R2-381-03BE,connector_footprints:TBP02R2-381-03BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,"Same Sky TBP02R2-381 series,  3 positions connector,  3.81 mm pitch,  Blue,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TBP02R2-381-03BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-03BE,Blue,3.81,3,Vertical,8.0,300,Through Hole,Tin,1
J_TBP02R2-381-04BE,J,TBP02R2-381-04BE,connector_footprints:TBP02R2-381-04BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,"Same Sky TBP02R2-381 series,  4 positions connector,  3.81 mm pitch,  Blue,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TBP02R2-381-04BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-04BE,Blue,3.81,4,Vertical,8.0,300,Through Hole,Tin,1
J_TBP02R2-381-05BE,J,TBP02R2-381-05BE,connector_footprints:TBP02R2-381-05BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,"Same Sky TBP02R2-381 series,  5 positions connector,  3.81 mm pitch,  Blue,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TBP02R2-381-05BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-05BE,Blue,3.81,5,Vertical,8.0,300,Through Hole,Tin,1
J_TBP02R2-381-06BE,J,TBP02R2-381-06BE,connector_footprints:TBP02R2-381-06BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,"Same Sky TBP02R2-381 series,  6 positions connector,  3.81 mm pitch,  Blue,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TBP02R2-381-06BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-06BE,Blue,3.81,6,Vertical,8.0,300,Through Hole,Tin,1
J_TBP02R2-381-07BE,J,TBP02R2-381-07BE,connector_footprints:TBP02R2-381-07BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,"Same Sky TBP02R2-381 series,  7 positions connector,  3.81 mm pitch,  Blue,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TBP02R2-381-07BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-07BE,Blue,3.81,7,Vertical,8.0,300,Through Hole,Tin,1
J_TBP02R2-381-08BE,J,TBP02R2-381-08BE,connector_footprints:TBP02R2-381-08BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,"Same Sky TBP02R2-381 series,  8 positions connector,  3.81 mm pitch,  Blue,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TBP02R2-381-08BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-08BE,Blue,3.81,8,Vertical,8.0,300,Through Hole,Tin,1
J_TBP02R2-381-09BE,J,TBP02R2-381-09BE,connector_footprints:TBP02R2-381-09BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,"Same Sky TBP02R2-381 series,  9 positions connector,  3.81 mm pitch,  Blue,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TBP02R2-381-09BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-09BE,Blue,3.81,9,Vertical,8.0,300,Through Hole,Tin,1
J_TBP02R2-381-10BE,J,TBP02R2-381-10BE,connector_footprints:TBP02R2-381-10BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,"Same Sky TBP02R2-381 series,  10 positions connector,  3.81 mm pitch,  Blue,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TBP02R2-381-10BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-10BE,Blue,3.81,10,Vertical,8.0,300,Through Hole,Tin,1
J_TBP02R2-381-12BE,J,TBP02R2-381-12BE,connector_footprints:TBP02R2-381-12BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,"Same Sky TBP02R2-381 series,  12 positions connector,  3.81 mm pitch,  Blue,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TBP02R2-381-12BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-12BE,Blue,3.81,12,Vertical,8.0,300,Through Hole,Tin,1
